patient_id,repetition,F1_Nx,F1_1x,RSS
patient_01,1,0.2745098039215686,0.2745098039215686,0.0
patient_01,2,0.125,0.2745098039215686,0.1495098039215686
patient_01,5,0.125,0.2745098039215686,0.1495098039215686
patient_01,10,0.125,0.2745098039215686,0.1495098039215686
patient_01,16,0.125,0.2745098039215686,0.1495098039215686
patient_01,32,0.125,0.2745098039215686,0.1495098039215686
patient_02,1,0.7142857142857143,0.7142857142857143,0.0
patient_02,2,0.7142857142857143,0.7142857142857143,0.0
patient_02,5,0.1428571428571428,0.7142857142857143,0.5714285714285715
patient_02,10,0.1428571428571428,0.7142857142857143,0.5714285714285715
patient_02,16,0.1428571428571428,0.7142857142857143,0.5714285714285715
patient_02,32,0.1428571428571428,0.7142857142857143,0.5714285714285715
patient_03,1,0.4444444444444444,0.4444444444444444,0.0
patient_03,2,0.4444444444444444,0.4444444444444444,0.0
patient_03,5,0.4444444444444444,0.4444444444444444,0.0
patient_03,10,0.4444444444444444,0.4444444444444444,0.0
patient_03,16,0.4444444444444444,0.4444444444444444,0.0
patient_03,32,0.4444444444444444,0.4444444444444444,0.0
patient_04,1,0.6666666666666666,0.6666666666666666,0.0
patient_04,2,0.6666666666666666,0.6666666666666666,0.0
patient_04,5,0.6666666666666666,0.6666666666666666,0.0
patient_04,10,0.6666666666666666,0.6666666666666666,0.0
patient_04,16,0.6666666666666666,0.6666666666666666,0.0
patient_04,32,0.3333333333333333,0.6666666666666666,0.3333333333333333
patient_05,1,0.35294117647058815,0.35294117647058815,0.0
patient_05,2,0.35294117647058815,0.35294117647058815,0.0
patient_05,5,0.0,0.35294117647058815,0.35294117647058815
patient_05,10,0.1176470588235294,0.35294117647058815,0.23529411764705876
patient_05,16,0.1176470588235294,0.35294117647058815,0.23529411764705876
patient_05,32,0.1176470588235294,0.35294117647058815,0.23529411764705876
patient_06,1,0.6,0.6,0.0
patient_06,2,0.6,0.6,0.0
patient_06,5,0.20000000000000004,0.6,0.3999999999999999
patient_06,10,0.20000000000000004,0.6,0.3999999999999999
patient_06,16,0.20000000000000004,0.6,0.3999999999999999
patient_06,32,0.20000000000000004,0.6,0.3999999999999999
patient_07,1,0.5714285714285714,0.5714285714285714,0.0
patient_07,2,0.5714285714285714,0.5714285714285714,0.0
patient_07,5,0.5714285714285714,0.5714285714285714,0.0
patient_07,10,0.4761904761904761,0.5714285714285714,0.09523809523809529
patient_07,16,0.2857142857142857,0.5714285714285714,0.2857142857142857
patient_07,32,0.2857142857142857,0.5714285714285714,0.2857142857142857
patient_08,1,0.4705882352941176,0.4705882352941176,0.0
patient_08,2,0.4705882352941176,0.4705882352941176,0.0
patient_08,5,0.4705882352941176,0.4705882352941176,0.0
patient_08,10,0.4705882352941176,0.4705882352941176,0.0
patient_08,16,0.4705882352941176,0.4705882352941176,0.0
patient_08,32,0.4705882352941176,0.4705882352941176,0.0
patient_09,1,0.4666666666666666,0.4666666666666666,0.0
patient_09,2,0.20000000000000004,0.4666666666666666,0.2666666666666666
patient_09,5,0.20000000000000004,0.4666666666666666,0.2666666666666666
patient_09,10,0.20000000000000004,0.4666666666666666,0.2666666666666666
patient_09,16,0.20000000000000004,0.4666666666666666,0.2666666666666666
patient_09,32,0.20000000000000004,0.4666666666666666,0.2666666666666666
patient_10,1,0.42857142857142855,0.42857142857142855,0.0
patient_10,2,0.42857142857142855,0.42857142857142855,0.0
patient_10,5,0.42857142857142855,0.42857142857142855,0.0
patient_10,10,0.2666666666666666,0.42857142857142855,0.16190476190476194
patient_10,16,0.2666666666666666,0.42857142857142855,0.16190476190476194
patient_10,32,0.2666666666666666,0.42857142857142855,0.16190476190476194
