run_id,patient_id,condition,repetition,run,micro_precision,micro_recall,micro_f1,omission_count,hallucination_count,drift_score
20260522_224306,patient_01,filler_control,1,1,0.25,0.2222222222222222,0.23529411764705882,7,6,0.6833333333333333
20260522_224306,patient_01,filler_control,5,1,0.42857142857142855,0.3333333333333333,0.375,6,4,0.8461538461538461
20260522_224306,patient_01,filler_control,10,1,0.2857142857142857,0.2222222222222222,0.25,7,5,0.4285714285714286
20260522_224306,patient_01,filler_control,16,1,0.14285714285714285,0.1111111111111111,0.125,8,6,0.9282051282051282
20260522_224306,patient_02,filler_control,1,1,0.7142857142857143,0.7142857142857143,0.7142857142857143,2,2,0.2222222222222222
20260522_224306,patient_02,filler_control,5,1,0.7142857142857143,0.7142857142857143,0.7142857142857143,2,2,0.2222222222222222
20260522_224306,patient_02,filler_control,10,1,0.7142857142857143,0.7142857142857143,0.7142857142857143,2,2,0.2222222222222222
20260522_224306,patient_02,filler_control,16,1,0.7142857142857143,0.7142857142857143,0.7142857142857143,2,2,0.2222222222222222
20260522_224306,patient_03,filler_control,1,1,0.4444444444444444,0.4444444444444444,0.4444444444444444,5,5,0.35714285714285715
20260522_224306,patient_03,filler_control,5,1,0.4444444444444444,0.4444444444444444,0.4444444444444444,5,5,0.35714285714285715
20260522_224306,patient_03,filler_control,10,1,0.4444444444444444,0.4444444444444444,0.4444444444444444,5,5,0.35714285714285715
20260522_224306,patient_03,filler_control,16,1,0.4444444444444444,0.4444444444444444,0.4444444444444444,5,5,0.35714285714285715
20260522_224306,patient_04,filler_control,1,1,0.6666666666666666,0.6666666666666666,0.6666666666666666,2,2,0.25
20260522_224306,patient_04,filler_control,5,1,0.6666666666666666,0.6666666666666666,0.6666666666666666,2,2,0.25
20260522_224306,patient_04,filler_control,10,1,0.6666666666666666,0.6666666666666666,0.6666666666666666,2,2,0.25
20260522_224306,patient_04,filler_control,16,1,0.6666666666666666,0.6666666666666666,0.6666666666666666,2,2,0.25
20260522_224306,patient_05,filler_control,1,1,0.375,0.3333333333333333,0.35294117647058826,6,5,0.503968253968254
20260522_224306,patient_05,filler_control,5,1,0.375,0.3333333333333333,0.35294117647058826,6,5,0.503968253968254
20260522_224306,patient_05,filler_control,10,1,0.375,0.3333333333333333,0.35294117647058826,6,5,0.503968253968254
20260522_224306,patient_05,filler_control,16,1,0.375,0.3333333333333333,0.35294117647058826,6,5,0.503968253968254
20260522_224306,patient_06,filler_control,1,1,0.6,0.6,0.6,2,2,0.2857142857142857
20260522_224306,patient_06,filler_control,5,1,0.6,0.6,0.6,2,2,0.2857142857142857
20260522_224306,patient_06,filler_control,10,1,0.6,0.6,0.6,2,2,0.2857142857142857
20260522_224306,patient_06,filler_control,16,1,0.6,0.6,0.6,2,2,0.2857142857142857
20260522_224306,patient_07,filler_control,1,1,0.5714285714285714,0.5714285714285714,0.5714285714285714,3,3,0.3
20260522_224306,patient_07,filler_control,5,1,0.5714285714285714,0.5714285714285714,0.5714285714285714,3,3,0.3
20260522_224306,patient_07,filler_control,10,1,0.5714285714285714,0.5714285714285714,0.5714285714285714,3,3,0.3
20260522_224306,patient_07,filler_control,16,1,0.5714285714285714,0.5714285714285714,0.5714285714285714,3,3,0.3
20260522_224306,patient_08,filler_control,1,1,0.5,0.4444444444444444,0.47058823529411764,5,4,0.34615384615384615
20260522_224306,patient_08,filler_control,5,1,0.5,0.4444444444444444,0.47058823529411764,5,4,0.34615384615384615
20260522_224306,patient_08,filler_control,10,1,0.5,0.4444444444444444,0.47058823529411764,5,4,0.45726495726495725
20260522_224306,patient_08,filler_control,16,1,0.5,0.4444444444444444,0.47058823529411764,5,4,0.45726495726495725
20260522_224306,patient_09,filler_control,1,1,0.2,0.2,0.20000000000000004,4,4,0.4444444444444444
20260522_224306,patient_09,filler_control,5,1,0.6,0.6,0.6,2,2,0.7301587301587301
20260522_224306,patient_09,filler_control,10,1,0.6,0.6,0.6,2,2,0.7301587301587301
20260522_224306,patient_09,filler_control,16,1,0.6,0.6,0.6,2,2,0.7301587301587301
20260522_224306,patient_10,filler_control,1,1,0.42857142857142855,0.42857142857142855,0.42857142857142855,4,4,0.36363636363636365
20260522_224306,patient_10,filler_control,5,1,0.42857142857142855,0.42857142857142855,0.42857142857142855,4,4,0.36363636363636365
20260522_224306,patient_10,filler_control,10,1,0.42857142857142855,0.42857142857142855,0.42857142857142855,4,4,0.36363636363636365
20260522_224306,patient_10,filler_control,16,1,0.42857142857142855,0.42857142857142855,0.42857142857142855,4,4,0.36363636363636365
