metric,repetition,F1_drop_redundancy,F1_drop_control,DRE
micro_f1_soft,1,0.0,0.0,0.0
micro_f1_soft,2,0.04161764705882354,-0.03279411764705886,0.0744117647058824
micro_f1_soft,5,0.1662114845938375,-0.02813725490196073,0.19434873949579823
micro_f1_soft,10,0.17623949579831932,-0.02813725490196073,0.20437675070028005
micro_f1_soft,16,0.2070518207282913,0.003970588235294115,0.2030812324929972
micro_f1_soft,32,0.24038515406162464,0.23968128276951806,0.0007038712921065837
micro_f1_strict,1,0.0,0.0,0.0
micro_f1_strict,2,0.04161764705882354,-0.028872549019607896,0.07049019607843143
micro_f1_strict,5,0.1740546218487395,-0.01637254901960783,0.19042717086834732
micro_f1_strict,10,0.18800420168067228,-0.01637254901960783,0.2043767507002801
micro_f1_strict,16,0.2070518207282913,0.011813725490196048,0.19523809523809527
micro_f1_strict,32,0.24038515406162464,0.23968128276951806,0.0007038712921065837
